Mesocosm ID,Treatment,Sampling Date,# Individual tetragnathids,# individual insects in webs
1,ALAN,7/8/2016,9,27
2,no ALAN,7/8/2016,9,0
3,ALAN,7/8/2016,12,59
4,ALAN,7/8/2016,1,20
5,no ALAN,7/8/2016,5,8
6,no ALAN,7/8/2016,8,14
7,ALAN,7/8/2016,8,13
8,no ALAN,7/8/2016,1,8
9,ALAN,7/8/2016,3,21
10,no ALAN,7/8/2016,2,8
11,ALAN,7/8/2016,13,31
12,no ALAN,7/8/2016,5,13
13,ALAN,7/8/2016,3,31
14,ALAN,7/8/2016,7,39
15,no ALAN,7/8/2016,5,21
16,no ALAN,7/8/2016,12,5
17,no ALAN,7/8/2016,6,11
18,ALAN,7/8/2016,4,18
19,ALAN,7/8/2016,5,21
20,no ALAN,7/8/2016,4,15
1,ALAN,7/23/2016,15,12
2,no ALAN,7/23/2016,1,1
3,ALAN,7/23/2016,25,4
4,ALAN,7/23/2016,24,17
5,no ALAN,7/23/2016,7,5
6,no ALAN,7/23/2016,10,25
7,ALAN,7/23/2016,25,14
8,no ALAN,7/23/2016,6,8
9,ALAN,7/23/2016,10,19
10,no ALAN,7/23/2016,4,0
11,ALAN,7/23/2016,12,6
12,no ALAN,7/23/2016,12,9
13,ALAN,7/23/2016,16,9
14,ALAN,7/23/2016,23,8
15,no ALAN,7/23/2016,6,14
16,no ALAN,7/23/2016,4,1
17,no ALAN,7/23/2016,6,3
18,ALAN,7/23/2016,15,9
19,ALAN,7/23/2016,15,2
20,no ALAN,7/23/2016,10,19
1,ALAN,8/4/2016,13,7
2,no ALAN,8/4/2016,10,2
3,ALAN,8/4/2016,28,48
4,ALAN,8/4/2016,18,70
5,no ALAN,8/4/2016,12,18
6,no ALAN,8/4/2016,13,3
7,ALAN,8/4/2016,23,34
8,no ALAN,8/4/2016,10,32
9,ALAN,8/4/2016,30,30
10,no ALAN,8/4/2016,11,5
11,ALAN,8/4/2016,16,3
12,no ALAN,8/4/2016,7,4
13,ALAN,8/4/2016,18,35
14,ALAN,8/4/2016,19,8
15,no ALAN,8/4/2016,9,7
16,no ALAN,8/4/2016,6,30
17,no ALAN,8/4/2016,6,8
18,ALAN,8/4/2016,9,28
19,ALAN,8/4/2016,12,115
20,no ALAN,8/4/2016,7,19
